序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
105,臺北市,2014/11/09,中山,-,-,-,-,12,-,-,-,-,-,-,-
106,臺北市,2014/11/09,中山,0.9,0.47,26.2,46.0,-,24,4.88,19.32,1.58,22.49,-,84.8
107,臺北市,2014/11/08,中山,-,-,-,-,19,-,-,-,-,-,-,-
108,臺北市,2014/11/08,中山,3.1,0.73,26.3,71.0,-,39,9.89,29.34,1.64,25.15,-,67.24
109,臺北市,2014/11/07,中山,-,-,-,-,18,-,-,-,-,-,-,-
110,臺北市,2014/11/07,中山,3.2,0.6,27.4,61.0,-,36,8.64,27.62,2.55,22.9,-,64.72
111,臺北市,2014/11/06,中山,-,-,-,-,15,-,-,-,-,-,-,-
112,臺北市,2014/11/06,中山,3.2,0.64,18.3,49.0,-,39,11.0,28.38,1.88,22.41,-,68.25
113,臺北市,2014/11/05,中山,-,-,-,-,12,-,-,-,-,-,-,-
114,臺北市,2014/11/05,中山,3.3,0.59,19.4,46.0,-,38,11.44,26.83,2.26,22.08,-,61.15
115,臺北市,2014/11/04,中山,-,-,-,-,13,-,-,-,-,-,-,-
116,臺北市,2014/11/04,中山,2.6,0.64,16.1,55.0,-,41,12.8,28.48,2.12,21.48,-,62.3
117,臺北市,2014/11/03,中山,-,-,-,-,21,-,-,-,-,-,-,-
118,臺北市,2014/11/03,中山,3.3,0.61,29.6,79.0,-,32,7.26,25.2,1.76,21.32,-,60.35
119,臺北市,2014/11/02,中山,-,-,-,-,13,-,-,-,-,-,-,-
120,臺北市,2014/11/02,中山,2.4,0.62,27.2,41.0,-,23,3.93,18.69,1.73,23.78,-,79.3
121,臺北市,2014/11/01,中山,-,-,-,-,18,-,-,-,-,-,-,-
122,臺北市,2014/11/01,中山,3.6,0.54,17.6,47.0,-,30,7.85,21.71,1.95,26.43,-,72.54
123,臺北市,2014/10/31,中山,-,-,-,-,18,-,-,-,-,-,-,-
124,臺北市,2014/10/31,中山,3.5,0.7,28.7,54.0,-,37,9.53,27.0,1.79,26.94,-,65.16
125,臺北市,2014/10/30,中山,-,-,-,-,17,-,-,-,-,-,-,-
126,臺北市,2014/10/30,中山,1.9,0.55,26.5,55.0,-,28,8.14,19.86,2.72,27.2,-,61.24
127,臺北市,2014/10/29,中山,-,-,-,-,22,-,-,-,-,-,-,-
128,臺北市,2014/10/29,中山,2.3,0.56,32.1,67.0,-,27,5.44,21.46,2.72,26.48,-,65.0
129,臺北市,2014/10/28,中山,-,-,-,-,21,-,-,-,-,-,-,-
130,臺北市,2014/10/28,中山,2.6,0.51,35.2,63.0,-,27,5.32,21.8,3.0,24.29,-,65.42
131,臺北市,2014/10/27,中山,-,-,-,-,22,-,-,-,-,-,-,-
132,臺北市,2014/10/27,中山,3.7,0.49,33.8,60.0,-,24,4.33,19.9,2.6,26.04,-,69.02
133,臺北市,2014/10/26,中山,-,-,-,-,14,-,-,-,-,-,-,-
134,臺北市,2014/10/26,中山,3.6,0.55,21.6,43.0,-,27,5.96,20.96,1.58,26.87,-,72.22
135,臺北市,2014/10/25,中山,-,-,-,-,10,-,-,-,-,-,-,-
136,臺北市,2014/10/25,中山,3.5,0.48,23.1,39.0,-,26,5.63,20.52,2.37,25.0,-,77.25
137,臺北市,2014/10/24,中山,-,-,-,-,12,-,-,-,-,-,-,-
138,臺北市,2014/10/24,中山,4.6,0.53,24.0,47.0,-,32,7.77,24.32,2.75,24.47,-,71.29
139,臺北市,2014/10/23,中山,-,-,-,-,11,-,-,-,-,-,-,-
140,臺北市,2014/10/23,中山,2.8,0.59,26.8,51.0,-,34,8.67,25.82,2.18,23.97,-,64.18
141,臺北市,2014/10/22,中山,-,-,-,-,22,-,-,-,-,-,-,-
142,臺北市,2014/10/22,中山,2.2,0.78,21.2,59.0,-,39,9.15,29.96,1.87,24.78,-,74.83
143,臺北市,2014/10/21,中山,-,-,-,-,31,-,-,-,-,-,-,-
144,臺北市,2014/10/21,中山,5.9,1.09,25.7,76.0,-,57,16.31,40.56,1.46,28.49,-,63.87
145,臺北市,2014/10/20,中山,-,-,-,-,15,-,-,-,-,-,-,-
146,臺北市,2014/10/20,中山,4.1,0.88,15.4,48.0,-,45,20.93,24.1,1.4,28.18,-,64.53
147,臺北市,2014/10/19,中山,-,-,-,-,18,-,-,-,-,-,-,-
148,臺北市,2014/10/19,中山,2.2,0.43,26.3,52.0,-,21,4.65,16.62,2.42,26.41,-,69.25
149,臺北市,2014/10/18,中山,-,-,-,-,26,-,-,-,-,-,-,-
150,臺北市,2014/10/18,中山,2.0,0.53,37.6,75.0,-,26,3.99,22.03,2.58,25.71,-,62.66
151,臺北市,2014/10/17,中山,-,-,-,-,17,-,-,-,-,-,-,-
152,臺北市,2014/10/17,中山,2.9,0.58,29.5,57.0,-,31,5.56,25.9,2.5,24.04,-,69.05
153,臺北市,2014/10/16,中山,-,-,-,-,23,-,-,-,-,-,-,-
154,臺北市,2014/10/16,中山,3.4,0.63,37.5,68.0,-,34,5.15,28.44,1.94,22.79,-,58.58
155,臺北市,2014/10/15,中山,-,-,-,-,40,-,-,-,-,-,-,-
156,臺北市,2014/10/15,中山,4.2,0.9,38.9,103.0,-,46,7.11,39.36,1.75,22.39,-,59.44
157,臺北市,2014/10/14,中山,-,-,-,-,39,-,-,-,-,-,-,-
158,臺北市,2014/10/14,中山,3.8,0.83,34.9,103.0,-,39,7.15,32.27,1.75,22.66,-,61.07
159,臺北市,2014/10/13,中山,-,-,-,-,32,-,-,-,-,-,-,-
160,臺北市,2014/10/13,中山,1.6,0.76,26.8,81.0,-,39,7.76,30.87,1.56,23.4,-,66.11
161,臺北市,2014/10/12,中山,-,-,-,-,23,-,-,-,-,-,-,-
162,臺北市,2014/10/12,中山,4.8,0.86,21.4,73.0,-,50,19.88,29.91,1.49,24.76,-,67.81
163,臺北市,2014/10/11,中山,-,-,-,-,20,-,-,-,-,-,-,-
164,臺北市,2014/10/11,中山,3.3,0.6,23.4,60.0,-,32,9.99,22.41,1.75,25.07,-,81.37
165,臺北市,2014/10/10,中山,-,-,-,-,13,-,-,-,-,-,-,-
166,臺北市,2014/10/10,中山,1.3,0.26,26.8,50.0,-,15,4.38,11.07,2.29,26.15,-,80.66
167,臺北市,2014/10/09,中山,-,-,-,-,15,-,-,-,-,-,-,-
168,臺北市,2014/10/09,中山,2.0,0.51,25.3,51.0,-,26,7.22,18.79,2.05,25.36,-,79.64
169,臺北市,2014/10/08,中山,-,-,-,-,16,-,-,-,-,-,-,-
170,臺北市,2014/10/08,中山,1.9,0.51,28.1,57.0,-,27,6.78,20.04,2.28,25.26,-,69.29
171,臺北市,2014/10/07,中山,-,-,-,-,17,-,-,-,-,-,-,-
172,臺北市,2014/10/07,中山,2.1,0.58,34.8,62.0,-,31,6.78,23.99,2.1,24.7,-,62.21
173,臺北市,2014/10/06,中山,-,-,-,-,31,-,-,-,-,-,-,-
174,臺北市,2014/10/06,中山,3.6,0.6,45.4,91.0,-,28,6.2,21.43,2.17,25.46,-,60.29
175,臺北市,2014/10/05,中山,-,-,-,-,17,-,-,-,-,-,-,-
176,臺北市,2014/10/05,中山,1.3,0.36,46.2,67.0,-,16,2.99,13.09,2.12,25.86,-,62.08
177,臺北市,2014/10/04,中山,-,-,-,-,18,-,-,-,-,-,-,-
178,臺北市,2014/10/04,中山,2.0,0.36,42.1,65.0,-,19,3.72,15.42,2.2,25.31,-,59.66
179,臺北市,2014/10/03,中山,-,-,-,-,26,-,-,-,-,-,-,-
180,臺北市,2014/10/03,中山,3.6,0.62,40.7,78.0,-,28,4.8,22.83,1.7,26.52,-,65.04
181,臺北市,2014/10/02,中山,-,-,-,-,17,-,-,-,-,-,-,-
182,臺北市,2014/10/02,中山,2.8,0.6,35.0,55.0,-,26,5.19,20.76,1.96,27.63,-,71.87
183,臺北市,2014/10/01,中山,-,-,-,-,15,-,-,-,-,-,-,-
184,臺北市,2014/10/01,中山,1.3,0.65,28.3,53.0,-,28,6.97,20.81,2.08,27.43,-,77.33
185,臺北市,2014/09/30,中山,-,-,-,-,21,-,-,-,-,-,-,-
186,臺北市,2014/09/30,中山,2.2,0.63,22.1,58.0,-,31,9.78,21.48,2.1,28.97,-,69.79
187,臺北市,2014/09/29,中山,-,-,-,-,31,-,-,-,-,-,-,-
188,臺北市,2014/09/29,中山,10.5,0.75,36.6,72.0,-,39,7.58,31.7,1.81,28.58,-,68.83
189,臺北市,2014/09/28,中山,-,-,-,-,21,-,-,-,-,-,-,-
190,臺北市,2014/09/28,中山,5.2,0.46,29.4,56.0,-,21,3.36,18.09,2.36,28.13,-,69.27
191,臺北市,2014/09/27,中山,-,-,-,-,19,-,-,-,-,-,-,-
192,臺北市,2014/09/27,中山,3.1,0.56,25.0,58.0,-,27,6.12,21.3,2.01,28.17,-,69.06
193,臺北市,2014/09/26,中山,-,-,-,-,20,-,-,-,-,-,-,-
194,臺北市,2014/09/26,中山,4.1,0.54,28.7,55.0,-,27,5.5,21.09,2.46,28.29,-,74.61
195,臺北市,2014/09/25,中山,-,-,-,-,17,-,-,-,-,-,-,-
196,臺北市,2014/09/25,中山,7.5,0.58,14.7,47.0,-,32,10.03,21.8,1.98,28.19,-,78.39
197,臺北市,2014/09/24,中山,-,-,-,-,23,-,-,-,-,-,-,-
198,臺北市,2014/09/24,中山,2.3,0.98,15.1,56.0,-,42,11.37,30.92,1.49,27.97,-,83.89
199,臺北市,2014/09/23,中山,-,-,-,-,27,-,-,-,-,-,-,-
200,臺北市,2014/09/23,中山,4.8,0.96,22.9,69.0,-,45,8.66,36.4,1.26,28.85,-,78.07
201,臺北市,2014/09/22,中山,-,-,-,-,12,-,-,-,-,-,-,-
202,臺北市,2014/09/22,中山,3.4,0.88,17.5,41.0,-,41,14.86,26.05,1.73,27.68,-,81.11
203,臺北市,2014/09/21,中山,-,-,-,-,7,-,-,-,-,-,-,-
204,臺北市,2014/09/21,中山,0.6,0.26,21.1,31.0,-,15,4.66,10.26,3.65,29.95,-,64.35
